#       # k              E            BS weight       TS weight
      0.0000000     -3.0057674       0.0000623       0.0000656
      0.0431429     -3.0029395       0.0000623       0.0000656
      0.0862858     -2.9944639       0.0000623       0.0000656
      0.1294287     -2.9803648       0.0000622       0.0000655
      0.1725717     -2.9606826       0.0000620       0.0000654
      0.2157146     -2.9354736       0.0000618       0.0000652
      0.2588575     -2.9048100       0.0000616       0.0000651
      0.3020004     -2.8687796       0.0000613       0.0000649
      0.3451433     -2.8274857       0.0000610       0.0000647
      0.3882862     -2.7810467       0.0000606       0.0000644
      0.4314292     -2.7295958       0.0000602       0.0000641
      0.4745721     -2.6732807       0.0000597       0.0000637
      0.5177150     -2.6122632       0.0000592       0.0000634
      0.5608579     -2.5467189       0.0000586       0.0000630
      0.6040008     -2.4768366       0.0000579       0.0000625
      0.6471437     -2.4028179       0.0000571       0.0000620
      0.6902867     -2.3248768       0.0000563       0.0000615
      0.7334296     -2.2432390       0.0000554       0.0000609
      0.7765725     -2.1581419       0.0000544       0.0000603
      0.8197154     -2.0698335       0.0000533       0.0000596
      0.8628583     -1.9785723       0.0000521       0.0000589
      0.9060012     -1.8846272       0.0000508       0.0000582
      0.9491442     -1.7882765       0.0000493       0.0000574
      0.9922871     -1.6898085       0.0000478       0.0000566
      1.0354300     -1.5895208       0.0000461       0.0000559
      1.0785729     -1.4877216       0.0000443       0.0000552
      1.1217158     -1.3847295       0.0000424       0.0000545
      1.1648587     -1.2808762       0.0000405       0.0000541
      1.2080017     -1.1765085       0.0000387       0.0000539
      1.2511446     -1.0719939       0.0000373       0.0000543
      1.2942875     -1.0719939       0.0000373       0.0000543
      1.3374304     -1.1765085       0.0000387       0.0000539
      1.3805733     -1.2808762       0.0000405       0.0000541
      1.4237162     -1.3847295       0.0000424       0.0000545
      1.4668592     -1.4877216       0.0000443       0.0000552
      1.5100021     -1.5895208       0.0000461       0.0000559
      1.5531450     -1.6898085       0.0000478       0.0000566
      1.5962879     -1.7882765       0.0000493       0.0000574
      1.6394308     -1.8846272       0.0000508       0.0000582
      1.6825737     -1.9785723       0.0000521       0.0000589
      1.7257167     -2.0698335       0.0000533       0.0000596
      1.7688596     -2.1581419       0.0000544       0.0000603
      1.8120025     -2.2432390       0.0000554       0.0000609
      1.8551454     -2.3248768       0.0000563       0.0000615
      1.8982883     -2.4028179       0.0000571       0.0000620
      1.9414312     -2.4768366       0.0000579       0.0000625
      1.9845741     -2.5467189       0.0000586       0.0000630
      2.0277171     -2.6122632       0.0000592       0.0000634
      2.0708600     -2.6732807       0.0000597       0.0000637
      2.1140029     -2.7295958       0.0000602       0.0000641
      2.1571458     -2.7810467       0.0000606       0.0000644
      2.2002887     -2.8274857       0.0000610       0.0000647
      2.2434316     -2.8687796       0.0000613       0.0000649
      2.2865746     -2.9048100       0.0000616       0.0000651
      2.3297175     -2.9354736       0.0000618       0.0000652
      2.3728604     -2.9606826       0.0000620       0.0000654
      2.4160033     -2.9803648       0.0000622       0.0000655
      2.4591462     -2.9944639       0.0000623       0.0000656
      2.5022891     -3.0029395       0.0000623       0.0000656
      2.5454321     -3.0057674       0.0000623       0.0000656
 
      0.0000000     -3.0030928       0.0002489       0.0002619
      0.0431429     -3.0002661       0.0002488       0.0002619
      0.0862858     -2.9917942       0.0002485       0.0002617
      0.1294287     -2.9777014       0.0002481       0.0002614
      0.1725717     -2.9580281       0.0002475       0.0002610
      0.2157146     -2.9328306       0.0002468       0.0002604
      0.2588575     -2.9021814       0.0002459       0.0002598
      0.3020004     -2.8661682       0.0002448       0.0002590
      0.3451433     -2.8248947       0.0002435       0.0002580
      0.3882862     -2.7784792       0.0002420       0.0002570
      0.4314292     -2.7270554       0.0002402       0.0002558
      0.4745721     -2.6707711       0.0002383       0.0002544
      0.5177150     -2.6097886       0.0002361       0.0002529
      0.5608579     -2.5442838       0.0002337       0.0002513
      0.6040008     -2.4744459       0.0002310       0.0002495
      0.6471437     -2.4004772       0.0002280       0.0002475
      0.6902867     -2.3225921       0.0002247       0.0002454
      0.7334296     -2.2410175       0.0002211       0.0002431
      0.7765725     -2.1559913       0.0002171       0.0002406
      0.8197154     -2.0677628       0.0002127       0.0002380
      0.8628583     -1.9765920       0.0002078       0.0002351
      0.9060012     -1.8827493       0.0002026       0.0002322
      0.9491442     -1.7865151       0.0001968       0.0002291
      0.9922871     -1.6881804       0.0001906       0.0002260
      1.0354300     -1.5880461       0.0001839       0.0002230
      1.0785729     -1.4864244       0.0001767       0.0002201
      1.1217158     -1.3836397       0.0001692       0.0002175
      1.1648587     -1.2800306       0.0001617       0.0002157
      1.2080017     -1.1759538       0.0001546       0.0002151
      1.2511446     -1.0717903       0.0001487       0.0002165
      1.2942875     -1.0717903       0.0001487       0.0002165
      1.3374304     -1.1759538       0.0001546       0.0002151
      1.3805733     -1.2800306       0.0001617       0.0002157
      1.4237162     -1.3836397       0.0001692       0.0002175
      1.4668592     -1.4864244       0.0001767       0.0002201
      1.5100021     -1.5880461       0.0001839       0.0002230
      1.5531450     -1.6881804       0.0001906       0.0002260
      1.5962879     -1.7865151       0.0001968       0.0002291
      1.6394308     -1.8827493       0.0002026       0.0002322
      1.6825737     -1.9765920       0.0002078       0.0002351
      1.7257167     -2.0677628       0.0002127       0.0002380
      1.7688596     -2.1559913       0.0002171       0.0002406
      1.8120025     -2.2410175       0.0002211       0.0002431
      1.8551454     -2.3225921       0.0002247       0.0002454
      1.8982883     -2.4004772       0.0002280       0.0002475
      1.9414312     -2.4744459       0.0002310       0.0002495
      1.9845741     -2.5442838       0.0002337       0.0002513
      2.0277171     -2.6097886       0.0002361       0.0002529
      2.0708600     -2.6707711       0.0002383       0.0002544
      2.1140029     -2.7270554       0.0002402       0.0002558
      2.1571458     -2.7784792       0.0002420       0.0002570
      2.2002887     -2.8248947       0.0002435       0.0002580
      2.2434316     -2.8661682       0.0002448       0.0002590
      2.2865746     -2.9021814       0.0002459       0.0002598
      2.3297175     -2.9328306       0.0002468       0.0002604
      2.3728604     -2.9580281       0.0002475       0.0002610
      2.4160033     -2.9777014       0.0002481       0.0002614
      2.4591462     -2.9917942       0.0002485       0.0002617
      2.5022891     -3.0002661       0.0002488       0.0002619
      2.5454321     -3.0030928       0.0002489       0.0002619
 
      0.0000000     -2.9986377       0.0005580       0.0005872
      0.0431429     -2.9958131       0.0005578       0.0005870
      0.0862858     -2.9873475       0.0005572       0.0005866
      0.1294287     -2.9732651       0.0005563       0.0005860
      0.1725717     -2.9536066       0.0005550       0.0005850
      0.2157146     -2.9284284       0.0005533       0.0005838
      0.2588575     -2.8978029       0.0005513       0.0005823
      0.3020004     -2.8618185       0.0005488       0.0005806
      0.3451433     -2.8205787       0.0005458       0.0005785
      0.3882862     -2.7742025       0.0005425       0.0005761
      0.4314292     -2.7228237       0.0005386       0.0005734
      0.4745721     -2.6665908       0.0005343       0.0005704
      0.5177150     -2.6056665       0.0005294       0.0005671
      0.5608579     -2.5402274       0.0005240       0.0005634
      0.6040008     -2.4704635       0.0005179       0.0005593
      0.6471437     -2.3965778       0.0005112       0.0005549
      0.6902867     -2.3187863       0.0005038       0.0005501
      0.7334296     -2.2373166       0.0004956       0.0005449
      0.7765725     -2.1524085       0.0004866       0.0005393
      0.8197154     -2.0643132       0.0004767       0.0005334
      0.8628583     -1.9732930       0.0004659       0.0005270
      0.9060012     -1.8796208       0.0004540       0.0005204
      0.9491442     -1.7835809       0.0004411       0.0005136
      0.9922871     -1.6854683       0.0004271       0.0005066
      1.0354300     -1.5855896       0.0004120       0.0004996
      1.0785729     -1.4842638       0.0003959       0.0004931
      1.1217158     -1.3818246       0.0003791       0.0004874
      1.1648587     -1.2786225       0.0003622       0.0004832
      1.2080017     -1.1750304       0.0003461       0.0004818
      1.2511446     -1.0714513       0.0003331       0.0004850
      1.2942875     -1.0714513       0.0003331       0.0004850
      1.3374304     -1.1750304       0.0003461       0.0004818
      1.3805733     -1.2786225       0.0003622       0.0004832
      1.4237162     -1.3818246       0.0003791       0.0004874
      1.4668592     -1.4842638       0.0003959       0.0004931
      1.5100021     -1.5855896       0.0004120       0.0004996
      1.5531450     -1.6854683       0.0004271       0.0005066
      1.5962879     -1.7835809       0.0004411       0.0005136
      1.6394308     -1.8796208       0.0004540       0.0005204
      1.6825737     -1.9732930       0.0004659       0.0005270
      1.7257167     -2.0643132       0.0004767       0.0005334
      1.7688596     -2.1524085       0.0004866       0.0005393
      1.8120025     -2.2373166       0.0004956       0.0005449
      1.8551454     -2.3187863       0.0005038       0.0005501
      1.8982883     -2.3965778       0.0005112       0.0005549
      1.9414312     -2.4704635       0.0005179       0.0005593
      1.9845741     -2.5402274       0.0005240       0.0005634
      2.0277171     -2.6056665       0.0005294       0.0005671
      2.0708600     -2.6665908       0.0005343       0.0005704
      2.1140029     -2.7228237       0.0005386       0.0005734
      2.1571458     -2.7742025       0.0005425       0.0005761
      2.2002887     -2.8205787       0.0005458       0.0005785
      2.2434316     -2.8618185       0.0005488       0.0005806
      2.2865746     -2.8978029       0.0005513       0.0005823
      2.3297175     -2.9284284       0.0005533       0.0005838
      2.3728604     -2.9536066       0.0005550       0.0005850
      2.4160033     -2.9732651       0.0005563       0.0005860
      2.4591462     -2.9873475       0.0005572       0.0005866
      2.5022891     -2.9958131       0.0005578       0.0005870
      2.5454321     -2.9986377       0.0005580       0.0005872
 
      0.0000000     -2.9924063       0.0009871       0.0010386
      0.0431429     -2.9895846       0.0009868       0.0010384
      0.0862858     -2.9811277       0.0009858       0.0010377
      0.1294287     -2.9670600       0.0009842       0.0010365
      0.1725717     -2.9474221       0.0009819       0.0010348
      0.2157146     -2.9222707       0.0009789       0.0010327
      0.2588575     -2.8916786       0.0009752       0.0010300
      0.3020004     -2.8557342       0.0009708       0.0010269
      0.3451433     -2.8145416       0.0009656       0.0010232
      0.3882862     -2.7682202       0.0009596       0.0010190
      0.4314292     -2.7169043       0.0009528       0.0010142
      0.4745721     -2.6607432       0.0009451       0.0010089
      0.5177150     -2.5999002       0.0009365       0.0010029
      0.5608579     -2.5345528       0.0009268       0.0009964
      0.6040008     -2.4648923       0.0009161       0.0009892
      0.6471437     -2.3911229       0.0009042       0.0009814
      0.6902867     -2.3134619       0.0008910       0.0009728
      0.7334296     -2.2321391       0.0008765       0.0009636
      0.7765725     -2.1473963       0.0008605       0.0009537
      0.8197154     -2.0594873       0.0008430       0.0009431
      0.8628583     -1.9686775       0.0008237       0.0009319
