        #      k      largestgap  sum(wcc(:,ik))      wcc(i, ik)(i=1, NumberofSelectedOccupiedBands)
      0.00000000      0.02612958      0.52612958      0.52612958
      0.01694915      0.02619833      0.52619833      0.52619833
      0.03389831      0.02641707      0.52641707      0.52641707
      0.05084746      0.02678945      0.52678945      0.52678945
      0.06779661      0.02732782      0.52732782      0.52732782
      0.08474576      0.02805089      0.52805089      0.52805089
      0.10169492      0.02898537      0.52898537      0.52898537
      0.11864407      0.03016853      0.53016853      0.53016853
      0.13559322      0.03165212      0.53165212      0.53165212
      0.15254237      0.03350850      0.53350850      0.53350850
      0.16949153      0.03584028      0.53584028      0.53584028
      0.18644068      0.03879621      0.53879621      0.53879621
      0.20338983      0.04259788      0.54259788      0.54259788
      0.22033898      0.04758682      0.54758682      0.54758682
      0.23728814      0.05431118      0.55431118      0.55431118
      0.25423729      0.06369243      0.56369243      0.56369243
      0.27118644      0.07735723      0.57735723      0.57735723
      0.28813559      0.09828568      0.59828568      0.59828568
      0.30508475      0.13178164      0.63178164      0.63178164
      0.32203390      0.18464301      0.68464301      0.68464301
      0.33898305      0.25409045      0.75409045      0.75409045
      0.35593220      0.31773364      0.81773364      0.81773364
      0.37288136      0.36139267      0.86139267      0.86139267
      0.38983051      0.38877597      0.88877597      0.88877597
      0.40677966      0.40616536      0.90616536      0.90616536
      0.42372881      0.41753716      0.91753716      0.91753716
      0.44067797      0.42508574      0.92508574      0.92508574
      0.45762712      0.43002029      0.93002029      0.93002029
      0.47457627      0.43301467      0.93301467      0.93301467
      0.49152542      0.43443196      0.93443196      0.93443196
      0.50847458      0.43443196      0.93443196      0.93443196
      0.52542373      0.43301467      0.93301467      0.93301467
      0.54237288      0.43002029      0.93002029      0.93002029
      0.55932203      0.42508574      0.92508574      0.92508574
      0.57627119      0.41753716      0.91753716      0.91753716
      0.59322034      0.40616536      0.90616536      0.90616536
      0.61016949      0.38877597      0.88877597      0.88877597
      0.62711864      0.36139267      0.86139267      0.86139267
      0.64406780      0.31773364      0.81773364      0.81773364
      0.66101695      0.25409045      0.75409045      0.75409045
      0.67796610      0.18464301      0.68464301      0.68464301
      0.69491525      0.13178164      0.63178164      0.63178164
      0.71186441      0.09828568      0.59828568      0.59828568
      0.72881356      0.07735723      0.57735723      0.57735723
      0.74576271      0.06369243      0.56369243      0.56369243
      0.76271186      0.05431118      0.55431118      0.55431118
      0.77966102      0.04758682      0.54758682      0.54758682
      0.79661017      0.04259788      0.54259788      0.54259788
      0.81355932      0.03879621      0.53879621      0.53879621
      0.83050847      0.03584028      0.53584028      0.53584028
      0.84745763      0.03350850      0.53350850      0.53350850
      0.86440678      0.03165212      0.53165212      0.53165212
      0.88135593      0.03016853      0.53016853      0.53016853
      0.89830508      0.02898537      0.52898537      0.52898537
      0.91525424      0.02805089      0.52805089      0.52805089
      0.93220339      0.02732782      0.52732782      0.52732782
      0.94915254      0.02678945      0.52678945      0.52678945
      0.96610169      0.02641707      0.52641707      0.52641707
      0.98305085      0.02619833      0.52619833      0.52619833
      1.00000000      0.02612618      0.52612618      0.52612618
