        #      k      largestgap  sum(wcc(:,ik))      wcc(i, ik)(i=1, NumberofSelectedOccupiedBands)
      0.00000000      0.02612958      0.52612958      0.52612958
      0.00026483      0.00000000      0.00000000      0.00000000
      0.00052966      0.00000000      0.00000000      0.00000000
      0.00079449      0.00000000      0.00000000      0.00000000
      0.00105932      0.00000000      0.00000000      0.00000000
      0.00132415      0.00000000      0.00000000      0.00000000
      0.00158898      0.00000000      0.00000000      0.00000000
      0.00185381      0.00000000      0.00000000      0.00000000
      0.00211864      0.00000000      0.00000000      0.00000000
      0.00238347      0.00000000      0.00000000      0.00000000
      0.00264831      0.00000000      0.00000000      0.00000000
      0.00291314      0.00000000      0.00000000      0.00000000
      0.00317797      0.00000000      0.00000000      0.00000000
      0.00344280      0.00000000      0.00000000      0.00000000
      0.00370763      0.00000000      0.00000000      0.00000000
      0.00397246      0.00000000      0.00000000      0.00000000
      0.00423729      0.00000000      0.00000000      0.00000000
      0.00450212      0.00000000      0.00000000      0.00000000
      0.00476695      0.00000000      0.00000000      0.00000000
      0.00503178      0.00000000      0.00000000      0.00000000
      0.00529661      0.00000000      0.00000000      0.00000000
      0.00556144      0.00000000      0.00000000      0.00000000
      0.00582627      0.00000000      0.00000000      0.00000000
      0.00609110      0.00000000      0.00000000      0.00000000
      0.00635593      0.00000000      0.00000000      0.00000000
      0.00662076      0.00000000      0.00000000      0.00000000
      0.00688559      0.00000000      0.00000000      0.00000000
      0.00715042      0.00000000      0.00000000      0.00000000
      0.00741525      0.00000000      0.00000000      0.00000000
      0.00768008      0.00000000      0.00000000      0.00000000
      0.00794492      0.00000000      0.00000000      0.00000000
      0.00820975      0.00000000      0.00000000      0.00000000
      0.00847458      0.00000000      0.00000000      0.00000000
      0.00873941      0.00000000      0.00000000      0.00000000
      0.00900424      0.00000000      0.00000000      0.00000000
      0.00926907      0.00000000      0.00000000      0.00000000
      0.00953390      0.00000000      0.00000000      0.00000000
      0.00979873      0.00000000      0.00000000      0.00000000
      0.01006356      0.00000000      0.00000000      0.00000000
      0.01032839      0.00000000      0.00000000      0.00000000
      0.01059322      0.00000000      0.00000000      0.00000000
      0.01085805      0.00000000      0.00000000      0.00000000
      0.01112288      0.00000000      0.00000000      0.00000000
      0.01138771      0.00000000      0.00000000      0.00000000
      0.01165254      0.00000000      0.00000000      0.00000000
      0.01191737      0.00000000      0.00000000      0.00000000
      0.01218220      0.00000000      0.00000000      0.00000000
      0.01244703      0.00000000      0.00000000      0.00000000
      0.01271186      0.00000000      0.00000000      0.00000000
      0.01297669      0.00000000      0.00000000      0.00000000
      0.01324153      0.00000000      0.00000000      0.00000000
      0.01350636      0.00000000      0.00000000      0.00000000
      0.01377119      0.00000000      0.00000000      0.00000000
      0.01403602      0.00000000      0.00000000      0.00000000
      0.01430085      0.00000000      0.00000000      0.00000000
      0.01456568      0.00000000      0.00000000      0.00000000
      0.01483051      0.00000000      0.00000000      0.00000000
      0.01509534      0.00000000      0.00000000      0.00000000
      0.01536017      0.00000000      0.00000000      0.00000000
      0.01562500      0.00000000      0.00000000      0.00000000
      0.01588983      0.00000000      0.00000000      0.00000000
      0.01615466      0.00000000      0.00000000      0.00000000
      0.01641949      0.00000000      0.00000000      0.00000000
      0.01668432      0.00000000      0.00000000      0.00000000
      0.01694915      0.00000000      0.00000000      0.00000000
      0.01721398      0.00000000      0.00000000      0.00000000
      0.01747881      0.00000000      0.00000000      0.00000000
      0.01774364      0.00000000      0.00000000      0.00000000
      0.01800847      0.00000000      0.00000000      0.00000000
      0.01827331      0.00000000      0.00000000      0.00000000
      0.01853814      0.00000000      0.00000000      0.00000000
      0.01880297      0.00000000      0.00000000      0.00000000
      0.01906780      0.00000000      0.00000000      0.00000000
      0.01933263      0.00000000      0.00000000      0.00000000
      0.01959746      0.00000000      0.00000000      0.00000000
      0.01986229      0.00000000      0.00000000      0.00000000
      0.02012712      0.00000000      0.00000000      0.00000000
      0.02039195      0.00000000      0.00000000      0.00000000
      0.02065678      0.00000000      0.00000000      0.00000000
      0.02092161      0.00000000      0.00000000      0.00000000
      0.02118644      0.00000000      0.00000000      0.00000000
      0.02145127      0.00000000      0.00000000      0.00000000
      0.02171610      0.00000000      0.00000000      0.00000000
      0.02198093      0.00000000      0.00000000      0.00000000
      0.02224576      0.00000000      0.00000000      0.00000000
      0.02251059      0.00000000      0.00000000      0.00000000
      0.02277542      0.00000000      0.00000000      0.00000000
      0.02304025      0.00000000      0.00000000      0.00000000
      0.02330508      0.00000000      0.00000000      0.00000000
      0.02356992      0.00000000      0.00000000      0.00000000
      0.02383475      0.00000000      0.00000000      0.00000000
      0.02409958      0.00000000      0.00000000      0.00000000
      0.02436441      0.00000000      0.00000000      0.00000000
      0.02462924      0.00000000      0.00000000      0.00000000
      0.02489407      0.00000000      0.00000000      0.00000000
      0.02515890      0.00000000      0.00000000      0.00000000
      0.02542373      0.00000000      0.00000000      0.00000000
      0.02568856      0.00000000      0.00000000      0.00000000
      0.02595339      0.00000000      0.00000000      0.00000000
      0.02621822      0.00000000      0.00000000      0.00000000
      0.02648305      0.00000000      0.00000000      0.00000000
      0.02674788      0.00000000      0.00000000      0.00000000
      0.02701271      0.00000000      0.00000000      0.00000000
      0.02727754      0.00000000      0.00000000      0.00000000
      0.02754237      0.00000000      0.00000000      0.00000000
      0.02780720      0.00000000      0.00000000      0.00000000
      0.02807203      0.00000000      0.00000000      0.00000000
      0.02833686      0.00000000      0.00000000      0.00000000
